"endTime","artistName","trackName","msPlayed"
"2019-09-20 19:35","Joyner Lucas","ADHD","6254"
"2019-09-20 19:41","NF","Thinking","5956"
"2019-09-20 19:41","NF","Thinking","1345"
"2019-09-20 19:41","NF","Trauma","2580"
"2019-09-20 19:41","Joyner Lucas","ADHD","334941"
"2019-09-20 19:45","NF","Options","247071"
"2019-09-20 19:47","NF","No Excuses","93750"
"2019-09-20 19:50","NF","The Search","229224"
"2019-09-20 19:54","NF","Leave Me Alone","182483"
"2019-09-20 19:55","NF","Nate","0"
"2019-09-20 19:55","NF","Change","104824"
"2019-09-20 19:55","NF","Time","1155"
"2019-09-20 19:55","NF","My Stress","980"
"2019-09-20 19:55","NF","Returns","6728"
"2019-09-20 19:59","NF","When I Grow Up","194287"
"2019-09-20 20:02","NF","Only","168667"
"2019-09-20 20:06","NF","Time - Edit","2082"
"2019-09-20 20:06","Eminem","The Ringer","240581"
"2019-09-20 20:07","NF","Trauma","66126"
"2019-09-20 20:10","NF","Thinking","581"
"2019-09-20 20:10","NF","WHY","275"
"2019-09-20 20:10","NF","Trauma","178528"
"2019-09-20 20:13","NF","Thinking","192120"
"2019-09-20 20:13","NF","Trauma","11677"
"2019-09-20 20:22","NF","I Can Feel It","233573"
"2019-09-21 09:50","Joyner Lucas","ADHD","205802"
"2019-09-21 09:51","Joyner Lucas","ADHD","23275"
"2019-09-21 09:54","NF","Can You Hold Me","221200"
"2019-09-21 09:58","NF","No Excuses","201720"
"2019-09-21 10:03","NF","Paralyzed","270453"
"2019-09-21 10:06","NF","WHY","188989"
"2019-09-21 10:11","NF","Nate","302120"
"2019-09-21 10:15","NF","Returns","232053"
"2019-09-21 10:16","NF","Just Being Me","39894"
"2019-09-21 10:19","NF","Notepad","218600"
"2019-09-21 10:23","NF","The Search","248040"
"2019-09-21 10:24","NF","-Interlude-","49000"
"2019-09-21 10:29","NF","Hate Myself","260253"
"2019-09-21 10:32","NF","Wake Up","232960"
"2019-09-21 10:36","NF","When I Grow Up","196800"
"2019-09-21 10:40","NF","Grindin'","277293"
"2019-09-21 10:41","NF","Mansion","27512"
"2019-09-21 10:47","NF","Mansion","682"
"2019-09-21 10:50","NF","Intro","192860"
"2019-09-21 10:52","NF","If You Want Love","68410"
"2019-09-21 10:56","NF","Real","200189"
"2019-09-21 10:59","NF","Destiny","188057"
"2019-09-21 20:06","NF","Destiny","1600"
"2019-09-21 20:09","NF","Change","167290"
"2019-09-21 20:24","NF","Change","1186"
"2019-09-21 20:25","NF","Only","3195"
"2019-09-21 20:25","NF","Got You On My Mind","29079"
"2019-09-21 20:26","NF","Dreams","3408"
"2019-09-21 20:31","NF","Remember This","1650"
"2019-09-21 20:31","NF","Time - Edit","55794"
"2019-09-21 20:31","NF","Hands Up","4258"
"2019-09-22 03:06","Token","No Game","7380"
"2019-09-22 03:06","Ohana Bam","All Roads Lead Home (Hobbs & Shaw Remix)","2228"
"2019-09-22 03:09","Token","Happiness","213809"
"2019-09-22 03:13","Token","Little Boy","201410"
"2019-09-22 05:40","Token","Little Boy","753"
"2019-09-22 05:43","Token","Necessary Evil","7991"
"2019-09-22 05:43","Token","Treehouse","185693"
"2019-09-22 05:46","Token","Mom Would Agree","167445"
"2019-09-22 05:50","Token","Still Believe In Heroes","254752"
"2019-09-22 05:55","Token","One Like Equals","293418"
"2019-09-22 05:59","Token","Household Name","198522"
